Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Income_imp,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widow,Age,Child,MntTotal,Recency_u50,TotalPurchses,Enr_year,Enr_quarter,Enr_month,Log_Income,Interaction_1,Interaction_2,Interaction_3,Interaction_4,Interaction_5,Interaction_6,Tree_1,Tree_2,Tree_3,Response
1970,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,1,0,0,1,0,0,0,53,0,1190,1,14,2014,2,6,11.34846347247704,259420,4760,0,872,0,0,0,0,0,1
1961,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,1,0,0,0,0,1,0,62,0,577,1,17,2014,2,6,10.952401765007385,21349,1731,0,111,0,0,0,1,0,1
1958,67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,1,0,0,0,1,0,0,65,1,251,1,10,2014,2,5,11.116425053622645,7530,502,0,60,0,0,0,1,0,0
1967,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,1,0,0,0,1,0,0,56,1,11,1,3,2014,4,11,10.38819504814706,0,0,0,0,0,0,0,1,0,0
1989,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,0,0,0,1,0,0,0,0,1,0,34,1,91,1,6,2014,3,8,9.97459817999408,3094,91,0,34,0,0,0,1,0,1
1958,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,0,1,0,65,0,1192,1,16,2014,1,3,11.180120495696487,51256,8344,0,301,0,0,0,0,0,1
1954,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,0,0,0,0,1,0,0,1,0,0,69,0,1215,1,27,2014,1,1,11.059802551332528,78975,12150,0,650,0,0,1,0,0,1
1967,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,1,0,0,0,1,0,0,56,1,96,1,6,2014,1,1,10.712883258660506,672,96,0,7,0,0,0,1,0,0
1954,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,1,0,1,0,0,69,1,544,1,17,2014,4,11,11.087114782196634,2720,1088,0,10,0,0,0,1,0,0
1954,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,1,0,1,0,0,69,1,544,1,17,2014,4,11,11.087114782196634,2720,1088,0,10,0,0,0,1,0,0
1947,81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,1,0,0,1,0,0,76,0,1208,1,21,2013,4,12,11.302747496046042,31408,7248,0,156,0,0,1,0,0,0
1979,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,1,0,0,1,0,0,44,1,222,1,10,2013,3,9,11.04290583559649,888,222,0,4,0,0,0,1,0,0
1959,67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,0,0,1,64,0,1156,1,15,2013,3,7,11.124110962931043,117912,6936,0,612,0,0,0,1,0,1
1981,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,1,0,0,0,1,0,0,42,0,72,1,4,2013,4,10,10.198840131292128,2304,72,0,32,0,0,0,1,0,0
1969,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,1,0,0,0,1,0,0,54,1,359,1,25,2013,2,5,8.395703293828527,115239,0,0,0,0,0,0,1,0,0
1977,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,1,0,0,0,1,0,0,46,1,174,1,8,2013,4,11,10.911609693027891,3828,174,0,22,0,0,0,1,0,0
1977,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,1,0,0,0,1,0,0,46,1,174,1,8,2013,4,11,10.911609693027891,3828,174,0,22,0,0,0,1,0,1
1958,32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,1,1,0,0,0,65,1,22,1,4,2013,1,1,10.37888287047015,44,0,0,0,0,0,0,1,0,0
1960,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,1,0,0,0,1,0,63,1,72,1,5,2013,3,7,10.775261974301756,720,0,0,0,0,0,0,0,0,0
1958,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,1,0,0,0,1,0,65,1,13,1,3,2013,1,1,10.326235776766852,65,0,0,0,0,0,0,1,0,0
1954,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,1,0,0,1,0,0,69,1,335,1,12,2013,2,5,10.508732049920162,10050,670,0,60,0,0,0,1,0,0
1966,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,1,0,0,0,1,0,57,1,393,1,14,2013,1,3,10.679504210918369,2751,393,0,7,0,0,0,1,0,0
1979,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,1,0,0,1,0,0,44,1,92,1,6,2013,1,3,10.613049274364167,2116,92,0,23,0,0,0,1,0,0
1976,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,1,0,1,0,0,47,1,404,1,14,2013,4,12,10.810616442617897,9292,404,0,23,0,0,0,1,0,0
1969,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,1,0,0,0,0,1,0,54,1,704,1,22,2012,4,11,10.963549569921238,30976,5632,0,352,0,0,0,1,0,0
1965,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,1,0,0,0,1,0,58,1,122,1,7,2012,4,10,10.409340834675561,366,122,0,3,0,0,0,1,0,0
1956,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,1,0,0,0,1,0,0,67,1,684,1,19,2012,3,9,10.905038128361106,21888,1368,0,64,0,0,0,0,0,0
1956,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,1,0,0,0,1,0,0,67,1,684,1,19,2012,3,9,10.905038128361106,21888,1368,0,64,0,0,0,0,0,0
1956,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,1,0,0,0,1,67,1,45,1,5,2014,2,6,10.472770745873687,225,0,45,0,5,0,0,1,0,0
1975,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,1,0,0,0,0,1,0,48,0,726,1,15,2014,2,5,11.200540779878075,23232,2904,726,128,32,4,0,1,0,0
1971,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,1,1,0,0,0,52,1,272,1,11,2014,2,5,11.094496690470205,2720,272,272,10,10,1,0,1,0,0
1986,79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,1,0,0,0,1,0,0,37,0,1638,1,21,2014,2,4,11.283877014000634,322686,13104,1638,1576,197,8,1,0,0,0
1972,34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,1,0,1,0,0,51,1,8,1,3,2014,4,11,10.450972920664721,0,0,8,0,0,0,0,1,0,0
1974,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,0,0,0,0,1,0,1,0,0,49,1,446,1,15,2014,1,3,10.744494236334926,7582,446,446,17,17,1,0,0,0,1
1990,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,1,0,0,0,1,0,0,33,0,43,1,5,2013,4,10,9.817439347910675,301,0,43,0,7,0,0,1,0,0
1987,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,0,0,0,1,0,0,1,0,36,0,1901,1,11,2013,3,9,11.463409537498313,38020,5703,1901,60,20,3,0,0,0,1
1984,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,1,0,0,1,0,0,39,0,461,1,18,2013,1,1,11.087818716606776,13369,1383,461,87,29,3,0,1,0,0
1960,39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,1,0,1,0,0,0,63,0,20,1,3,2013,4,10,10.57714605651221,60,0,20,0,3,0,0,1,0,0
1961,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,0,0,0,0,1,0,0,1,0,62,0,1688,1,15,2013,3,9,11.348817037595632,27008,6752,1688,64,16,4,0,0,0,1
1968,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,1,0,0,0,1,0,0,55,1,1008,1,22,2013,2,4,11.023763480840264,173376,5040,1008,860,172,5,0,1,0,0
1972,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,1,0,0,0,0,1,0,51,1,48,1,5,2013,2,4,9.969228475498804,480,0,48,0,10,0,0,0,0,1
1955,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,0,0,1,0,1,0,0,68,1,1485,1,32,2013,1,3,11.104430772301699,20790,13365,1485,126,14,9,1,0,0,0
1983,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,0,1,0,0,0,1,0,40,0,1104,1,15,2013,1,1,11.310784800744297,49680,2208,1104,90,45,2,0,1,0,1
1986,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,1,0,0,0,0,1,0,37,1,165,1,8,2013,1,2,10.575053525062469,1980,0,165,0,12,0,0,0,0,0
1970,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,1,0,1,0,0,0,53,1,56,1,5,2013,1,2,10.164273649274849,1456,112,56,52,26,2,0,1,0,1
1961,64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,1,0,0,0,1,0,0,62,0,1574,1,13,2013,4,11,11.07069263266985,47220,7870,1574,150,30,5,1,0,0,1
1973,32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,1,0,0,0,1,0,0,50,1,39,1,4,2013,1,3,10.382822509210747,234,0,39,0,6,0,0,0,0,0
1965,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,1,0,0,1,0,0,58,1,965,1,14,2012,4,12,11.222653374649349,8685,3860,965,36,9,4,0,1,0,0
1970,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,0,0,0,1,0,0,1,0,0,0,53,1,497,1,17,2012,4,12,11.197762563128435,62125,994,497,250,125,2,0,1,0,1
1960,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,1,0,0,0,0,1,0,63,1,371,1,13,2012,1,2,10.797614471708561,10017,742,371,54,27,2,0,0,0,0
1984,14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,1,0,0,1,0,0,39,1,51,1,4,2012,3,9,9.602112152952344,816,0,51,0,16,0,0,0,0,1
1954,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,1,0,0,1,0,0,69,0,1253,1,18,2012,4,11,11.112313560992032,15036,10024,1253,96,12,8,1,0,0,0
1978,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,1,0,0,0,1,0,45,1,17,1,3,2014,4,12,10.8627419838424,17,0,34,0,2,0,0,0,0,0
1956,90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,1,0,0,0,1,0,0,67,0,1588,1,16,2014,2,4,11.411656567215656,26996,9528,3176,102,34,12,1,0,0,1
1974,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,1,0,0,0,0,1,0,0,49,1,50,1,6,2014,1,3,9.819725436430797,200,0,100,0,8,0,0,0,0,0
1952,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,1,0,0,0,0,1,0,71,1,83,1,5,2014,2,6,10.760855962858242,1909,83,166,23,46,2,0,1,0,1
1973,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,1,0,0,1,0,0,50,1,41,1,4,2014,2,4,10.560385600420952,0,0,82,0,0,0,0,1,0,0
1975,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,1,0,1,0,0,48,1,231,1,10,2014,2,4,11.033356230854793,3003,462,462,26,26,4,0,1,0,0
1962,83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,1,0,0,0,1,0,0,61,0,926,1,23,2014,1,3,11.335173451890643,7408,7408,1852,64,16,16,0,1,0,0
1964,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,0,1,0,0,59,1,893,1,12,2014,1,1,11.0120006658815,58938,1786,1786,132,132,4,0,1,0,1
1982,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,1,0,0,0,1,0,41,0,373,1,2,2013,4,12,8.788745881938135,97726,0,746,0,524,0,0,0,0,0
1961,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,1,0,0,1,0,0,62,1,32,1,4,2013,4,11,10.785807764839129,0,0,64,0,0,0,0,1,0,0
1968,38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,1,0,0,1,0,55,1,88,1,7,2013,3,9,10.551532759183653,880,0,176,0,20,0,0,1,0,0
1977,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,1,0,0,1,0,0,46,1,24,1,4,2013,2,5,10.030164255362632,120,0,48,0,10,0,0,1,0,0
